00:00:32:402, j
01:44:07:362, j
01:44:13:612, j
01:45:41:612, k
01:47:24:612, j
01:49:57:610, k
01:50:02:612, k
01:51:24:862, k
01:58:08:112, j
01:58:11:612, j
01:58:51:860, k
01:58:56:610, k
02:04:14:362, j
02:04:14:362, b
02:05:47:362, j
02:06:36:250, j
02:07:14:612, k
02:07:17:612, k
02:08:44:110, k
02:09:34:862, j
02:11:08:112, j
02:13:12:612, k
02:13:25:612, k
02:13:25:612, b
02:14:25:862, k
02:15:27:362, k
02:15:30:612, j
02:17:38:112, k
02:17:48:612, k
02:17:51:362, j
02:17:55:110, j
02:17:58:362, j
02:20:06:610, j
02:24:26:112, j
02:24:53:862, j
02:26:06:612, k
02:27:29:362, k
02:27:36:362, j
02:27:39:112, j
02:27:48:610, j
02:28:39:110, k
02:28:43:612, k
02:28:48:862, j
02:28:48:862, b
02:30:16:612, j
02:30:19:860, j
02:30:21:612, j
02:30:21:612, b
02:30:24:862, j
02:30:24:862, b
02:31:17:862, j
02:34:17:610, k
02:34:25:610, k
02:34:29:860, j
02:34:29:860, b
02:40:38:112, j
02:40:39:612, j
02:40:41:112, j
02:41:39:112, k
02:42:38:112, k
02:42:41:362, k
02:42:46:362, k
02:42:57:862, k
02:42:57:862, b
02:43:13:112, j
02:44:48:112, j
02:47:26:862, k
02:48:10:112, k
02:49:29:362, k
02:52:53:116, j
02:52:53:116, b
02:53:35:614, j
02:53:37:116, k
02:54:36:362, k
02:55:07:862, k
02:55:13:862, k
02:55:16:612, j
02:55:25:860, k
02:55:25:860, b
02:57:06:862, j
02:57:06:862, b
02:58:01:862, j
02:58:56:862, k
03:00:20:862, k
03:03:13:614, j
03:04:35:862, k
03:05:02:862, k
03:05:06:362, k
03:09:33:362, j
03:09:47:110, j
03:09:49:610, j
03:11:46:612, k
03:11:51:112, k
03:11:54:360, k
03:13:57:860, j
03:15:57:360, k
03:16:35:362, k
03:16:39:610, k
03:22:06:612, j
03:22:06:612, b
03:22:56:612, j
03:24:13:860, k
03:25:07:610, j
03:25:08:860, j
03:26:05:860, k
03:27:23:860, k
03:28:45:860, j
03:29:33:614, j
03:31:48:362, j
03:31:48:362, b
03:32:03:112, k
03:32:03:112, b
03:32:11:112, k
03:34:29:112, k
03:34:48:362, j
03:34:48:362, b
03:35:20:362, k
03:35:20:362, b
03:38:23:862, k
03:39:25:110, k
03:40:39:860, j
03:40:39:860, b
03:40:47:612, j
03:40:47:612, b
03:41:33:612, k
03:41:45:862, k
03:45:41:362, j
03:47:19:360, k
03:49:46:862, j
03:50:41:110, k
03:50:50:612, j
03:56:59:362, k
03:58:32:612, j
03:58:32:612, b
03:58:34:860, j
03:58:37:862, j
03:58:40:360, j
03:59:50:110, k
03:59:50:110, b
04:01:30:612, k
04:01:36:612, k
04:01:39:860, j
04:04:33:610, j
04:04:40:362, k
04:05:50:612, j
04:06:06:362, j
04:06:48:610, k
04:07:40:362, k
04:10:51:360, j
04:11:05:612, j
04:17:01:110, j
04:17:03:110, j
04:18:04:114, j
04:21:07:112, k
04:21:55:360, k
04:21:55:360, b
04:21:59:362, k
04:24:39:610, j
04:24:42:362, j
04:28:11:360, k
04:29:51:362, k
04:30:39:112, k
04:32:52:362, t
04:32:52:612, j
04:35:03:904, j
04:35:10:408, j
04:35:15:154, j
04:36:38:408, k
04:37:11:652, j
04:37:35:910, k
04:37:41:152, k
04:37:45:410, k
04:37:52:162, k
04:37:57:158, k
04:38:02:152, k
04:38:07:158, j
04:39:46:410, k
04:42:09:900, k
04:43:10:902, j
04:45:36:402, j
04:45:42:410, j
04:45:43:508, j
04:45:43:508, b
04:45:52:510, j
04:49:29:266, k
04:50:25:010, k
04:50:28:758, j
04:50:54:256, k
04:51:22:514, j
04:52:24:512, k
04:54:46:018, k
04:58:49:012, j
04:58:51:514, j
04:58:54:514, j
04:58:56:014, j
04:58:59:266, j
04:59:00:514, j
04:59:02:514, j
04:59:05:760, j
04:59:27:510, k
05:00:58:256, k
05:02:04:764, j
05:03:16:014, k
05:03:21:266, k
05:04:15:264, k
05:04:28:506, k
05:04:49:256, j
05:05:54:760, j
05:06:14:514, j
05:06:33:258, j
05:08:05:010, k
05:08:10:514, k
05:08:14:014, j
05:08:15:014, j
05:08:17:014, j
05:08:19:018, j
05:08:23:016, j
05:08:30:760, k
05:08:34:014, k
05:09:14:762, k
05:11:55:514, k
05:12:02:510, k
05:13:35:258, j
05:13:35:258, b
05:13:36:012, j
05:13:36:012, b
05:13:52:264, j
05:13:52:264, b
05:14:26:514, k
05:17:51:760, j
05:18:34:516, j
05:21:14:014, j
05:21:15:266, j
05:21:47:760, k
05:22:27:514, k
05:24:15:760, k
05:24:15:760, b
05:24:33:020, j
05:26:54:010, j
05:26:56:008, j
05:26:57:758, j
05:27:01:264, j
05:27:47:516, k
05:28:28:268, k
05:28:35:760, j
05:28:38:010, j
05:28:45:014, k
05:28:47:516, j
05:28:50:766, k
05:29:28:268, j
05:29:46:260, k
05:34:17:010, j
05:34:17:758, j
05:37:24:270, j
05:37:28:514, j
05:37:44:828, j
05:38:19:332, k
05:38:29:078, k
05:40:15:334, j
05:41:39:080, k
05:41:47:330, j
05:43:43:086, j
05:48:09:582, k
05:48:09:582, b
05:50:32:582, j
05:50:37:330, j
05:50:59:580, j
05:51:27:086, k
05:51:29:830, j
05:52:08:080, k
05:52:13:332, k
05:53:42:088, k
05:53:54:582, k
05:56:33:832, j
05:56:35:082, j
05:56:56:338, k
05:56:59:088, j
05:57:07:088, k
05:57:17:080, j
05:57:27:836, j
05:57:41:090, j
05:58:05:830, j
05:58:31:088, j
05:59:46:840, j
05:59:46:840, b
06:00:18:332, j
06:00:36:332, j
06:00:40:840, j
06:02:24:088, k
06:02:45:832, k
06:02:45:832, b
06:06:59:338, j
06:07:03:834, j
06:07:28:588, j
06:07:28:588, b
06:07:38:330, j
06:08:00:836, j
06:08:02:082, j
06:08:55:080, k
06:08:57:090, j
06:09:27:580, k
06:11:22:330, k
06:11:22:330, b
06:11:25:590, k
06:11:30:834, k
06:11:40:582, j
06:17:14:332, j
06:17:15:580, j
06:17:17:340, j
06:17:19:332, j
06:17:39:086, k
06:17:52:084, k
06:17:54:840, j
06:18:23:582, j
06:18:25:082, j
06:18:30:832, j
06:18:30:832, b
06:19:03:582, k
06:20:03:582, k
06:20:06:086, j
06:20:08:582, j
06:20:14:082, k
06:20:21:840, k
06:21:26:832, k
06:22:57:080, k
06:23:11:332, k
06:23:37:090, k
06:27:35:338, k
06:27:37:334, j
06:27:37:334, b
06:29:39:342, k
06:29:44:840, k
06:29:44:840, b
06:30:14:082, k
06:31:43:842, j
06:34:08:832, j
06:34:10:082, j
06:34:38:582, k
06:34:43:832, k
06:36:30:332, k
06:36:35:082, k
06:36:53:832, j
06:37:34:080, j
06:38:40:582, j
06:38:42:582, j
06:38:59:332, j
06:38:59:332, b
06:39:05:332, k
06:39:23:332, k
06:40:06:830, k
06:41:05:332, j
06:41:48:832, k
06:45:46:122, j
06:45:50:624, j
06:45:50:624, b
06:46:46:624, j
06:46:47:874, j
06:48:44:624, j
06:49:26:874, k
06:50:27:874, j
06:50:27:874, b
06:50:57:872, k
06:51:23:124, k
06:51:23:124, b
06:51:32:874, k
06:51:41:374, j
06:55:08:124, k
06:57:44:374, j
06:58:22:874, j
07:00:37:372, k
07:00:43:124, j
07:02:12:372, k
07:03:36:874, j
07:06:59:124, j
07:07:16:624, k
07:07:58:624, k
07:09:43:374, k
07:09:46:124, j
07:09:47:624, j
07:09:49:126, j
07:09:51:624, j
07:11:12:124, k
07:11:15:874, k
07:13:23:624, j
07:14:48:624, k
07:17:56:122, k
07:18:14:624, k
07:18:14:624, b
07:20:05:124, j
07:22:36:872, j
07:24:03:124, k
07:24:45:372, k
07:25:27:874, k
07:25:50:874, k
07:26:33:624, j
07:31:01:874, k
07:33:10:542, j
07:33:10:542, b
07:33:54:292, j
07:34:08:042, k
07:36:16:792, k
07:37:00:796, j
07:39:33:544, k
07:40:39:800, j
07:41:05:544, j
07:41:21:550, j
07:43:43:300, j
07:43:58:544, y
