09:10:14:903, x
13:24:24:014, k
13:24:28:016, k
13:24:32:758, k
13:24:38:262, j
13:24:41:264, j
13:24:51:258, k
13:25:19:510, k
13:25:25:758, k
13:28:02:760, j
13:31:04:768, j
13:32:37:512, k
13:32:47:014, k
13:32:54:516, k
13:35:29:758, j
13:35:32:514, j
13:36:36:760, k
13:39:03:766, j
13:39:09:516, j
13:39:33:758, j
13:39:40:512, j
13:39:53:514, l
13:41:05:258, k
13:41:13:514, k
13:41:16:766, k
13:41:25:510, k
13:42:12:516, j
13:44:51:762, k
13:45:31:758, k
13:46:25:014, k
13:47:22:510, k
13:47:55:764, j
13:48:40:256, j
13:49:26:258, j
13:50:42:266, k
13:50:42:266, b
13:50:47:510, j
13:54:24:766, k
13:54:31:262, k
13:54:34:514, j
13:54:37:012, j
13:54:39:014, j
13:55:02:012, k
13:56:45:758, j
13:56:49:260, j
13:57:28:006, j
13:58:01:008, j
13:59:34:508, k
13:59:37:264, j
14:00:58:514, k
14:02:41:764, j
14:03:42:756, k
14:06:00:010, j
14:07:45:756, k
14:08:54:258, k
14:09:13:401, j
14:12:39:010, j
14:13:36:266, j
14:15:10:012, k
14:18:07:016, j
14:19:42:014, k
14:21:49:260, j
14:22:18:514, k
14:22:21:764, k
14:22:23:258, j
14:22:25:516, j
14:22:29:266, k
14:22:32:514, j
14:22:35:764, j
14:25:17:014, k
14:25:21:256, k
14:25:26:010, k
14:26:27:514, j
14:26:30:756, j
14:27:20:514, j
14:29:27:260, k
14:31:02:508, k
14:31:04:514, j
14:32:03:264, k
14:33:02:514, k
14:33:58:766, k
14:34:03:258, k
14:39:03:256, j
14:40:19:256, k
14:40:46:014, k
14:40:49:016, l
14:40:58:006, k
14:41:01:014, j
14:42:09:516, k
14:43:37:768, k
14:45:18:400, j
14:45:44:400, k
14:51:32:152, j
14:52:15:260, k
14:52:19:260, k
14:53:17:010, j
14:53:18:260, j
14:53:19:010, j
14:55:52:260, j
14:57:38:760, k
14:59:23:258, j
14:59:59:258, j
15:00:02:510, j
15:01:52:758, k
15:01:55:260, k
15:01:58:510, j
15:02:05:260, k
15:02:10:260, j
15:03:54:010, k
15:03:57:260, k
15:04:58:510, j
15:05:10:258, j
15:05:50:260, j
15:07:19:010, k
15:10:06:008, k
15:12:20:760, j
15:13:23:758, j
15:13:27:010, j
15:13:34:260, k
15:13:37:012, j
15:14:21:760, j
15:15:03:758, j
15:15:34:762, k
15:15:40:260, k
15:15:49:760, k
15:15:53:010, k
15:15:56:760, k
15:16:00:008, j
15:16:56:508, k
15:19:13:010, k
15:20:57:008, j
15:21:00:260, j
15:21:13:510, k
15:22:40:510, k
15:22:43:760, k
15:22:49:260, k
15:25:47:510, j
15:29:30:510, k
15:33:23:760, k
15:35:57:260, j
15:36:05:260, j
15:37:35:008, k
15:37:39:760, k
15:39:26:758, k
15:39:29:260, k
15:39:53:510, k
15:42:07:508, k
15:42:14:010, k
15:42:17:010, j
15:42:27:760, k
15:43:31:258, k
15:43:34:008, k
15:43:36:760, k
15:43:40:258, j
15:44:32:758, k
15:44:35:260, j
15:44:40:010, k
15:46:34:760, k
15:47:57:260, k
15:48:47:010, k
15:48:50:758, k
15:49:59:010, j
15:51:55:010, j
15:54:23:008, k
15:56:55:206, j
15:57:06:456, j
15:57:08:954, j
15:57:12:456, j
15:57:14:206, j
15:57:16:206, j
15:58:24:954, j
15:59:16:454, k
15:59:35:456, j
16:03:20:954, j
16:04:14:456, j
16:04:27:706, k
16:05:04:456, k
16:05:59:706, k
16:06:03:706, j
16:07:54:206, k
16:08:14:706, k
16:08:17:956, j
16:08:36:706, j
16:08:49:954, j
16:12:24:956, j
16:14:08:706, j
16:14:15:206, k
16:14:19:706, k
16:14:22:706, j
16:15:11:204, j
16:16:57:206, j
16:18:40:706, k
16:19:42:706, j
16:22:46:706, k
16:23:17:956, k
16:24:41:956, k
16:24:47:706, k
16:26:59:206, k
16:27:49:706, k
16:27:54:956, j
16:28:01:956, k
16:28:18:706, k
16:28:39:204, j
16:29:03:706, k
16:29:08:204, k
16:29:17:456, j
16:30:22:956, k
16:30:28:454, k
16:30:32:206, k
16:34:43:706, j
16:35:34:206, k
16:35:38:706, k
16:36:15:204, j
16:38:02:454, k
16:38:42:204, k
16:38:45:956, k
16:40:49:206, j
16:41:04:456, k
16:44:24:956, j
16:46:19:706, k
16:47:23:706, j
16:48:45:456, l
16:48:47:454, l
16:48:50:708, l
16:48:53:206, j
16:50:10:706, k
16:50:59:204, k
16:57:16:206, j
16:57:18:456, k
16:57:22:704, k
16:58:56:456, k
16:59:29:454, k
16:59:35:456, j
17:00:19:454, j
17:00:45:206, j
17:02:06:456, k
17:02:13:706, k
17:02:16:954, l
17:02:18:206, l
17:02:20:954, k
17:02:39:706, j
17:02:41:704, j
17:04:05:206, k
17:04:53:706, j
17:04:56:206, j
17:07:14:954, j
17:09:05:858, k
17:10:43:608, j
17:12:17:610, k
17:15:13:110, j
17:15:44:356, j
17:16:23:856, j
17:20:11:608, j
17:23:08:356, j
17:23:37:358, k
17:23:42:108, j
17:25:21:358, j
17:25:37:608, k
17:25:37:608, b
17:25:38:108, j
17:25:53:858, l
17:27:16:608, k
17:27:26:358, k
17:30:27:858, j
17:31:14:356, j
17:32:02:358, k
17:32:06:106, k
17:32:09:106, k
17:32:50:108, j
17:33:54:106, j
17:33:56:108, j
17:33:59:108, j
17:34:07:356, l
17:37:50:358, j
17:39:44:356, k
17:41:10:356, j
17:41:25:356, j
17:42:09:858, k
17:42:57:858, j
17:44:10:858, j
17:47:04:358, j
17:47:29:356, j
17:48:56:608, j
17:49:50:358, j
17:50:54:858, k
17:53:44:358, j
17:55:14:358, j
17:55:27:606, j
17:56:03:108, j
17:56:21:106, j
17:57:47:858, k
17:59:10:358, j
18:01:56:356, k
18:03:40:108, k
18:03:57:610, j
18:04:59:108, j
18:05:44:108, j
18:06:15:106, k
18:06:28:358, j
18:07:02:108, k
18:07:02:108, b
18:07:35:858, j
18:07:35:858, b
